conditions,genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
6h-2e10,Ldlrad4,1.4786367249773717e-12,0.9395184239462331,0.277,0.16,2.0391879074162932e-8
6h-2e10,Sh3bp1,1.8381037230498443e-12,0.740131992071004,0.391,0.262,2.5349288444580403e-8
6h-2e10,Lyar,1.9429619223615902e-12,-0.38782870433958205,0.66,0.772,2.6795387871288692e-8
6h-2e10,Snhg6,2.413782425466784e-12,-0.46850705992984615,0.562,0.687,3.328847342961242e-8
6h-2e10,Dimt1,3.2697103617049102e-12,-0.7197589410185967,0.212,0.352,4.509257559827242e-8
6h-2e10,Tomm40,3.4761369659812337e-12,-0.48610442192472497,0.523,0.649,4.7939404897847195e-8
6h-2e10,Ddx27,4.765296440213211e-12,-0.41984769393388116,0.581,0.713,6.571820320698039e-8
6h-2e10,Rel,4.999223060442509e-12,-0.44266869599687914,0.539,0.669,6.894428522656265e-8
6h-2e10,Nop16,5.584019180844088e-12,-0.4798109715642584,0.465,0.603,7.700920852302082e-8
6h-2e10,Nhp2,6.041408994540895e-12,-0.30189846524624064,0.857,0.91,8.331707144371348e-8
6h-2e10,Ndufaf4,8.295854019762971e-12,-0.6415501606704316,0.299,0.439,1.1440812278655114e-7
6h-2e10,Pitpnc1,9.099889907126982e-12,0.5362092759769457,0.616,0.501,1.2549658170918823e-7
6h-2e10,Pycard,9.811385618663188e-12,0.48636504415484294,0.662,0.54,1.3530881906698402e-7
6h-2e10,Aqp3,1.1258574886476943e-11,1.3241872596592472,0.13,0.053,1.552670062594035e-7
6h-2e10,Rgcc,1.1977268005427187e-11,-0.5923000348989099,0.421,0.555,1.6517850306284635e-7
6h-2e10,Akap13,1.4146310778132614e-11,0.5588467091734991,0.669,0.581,1.9509177194122688e-7
6h-2e10,Cst7,1.50534146233782e-11,-0.6428902289214891,0.351,0.483,2.0760164107100876e-7
6h-2e10,Grap2,1.506344644203698e-11,0.6269333126251039,0.477,0.352,2.0773998988213197e-7
6h-2e10,Slc9a3r1,1.7820011552472166e-11,0.5872948430249305,0.519,0.399,2.4575577932014366e-7
6h-2e10,Hspa9,1.79782663724276e-11,-0.31338510453291857,0.819,0.889,2.4793827154214906e-7
6h-2e10,Mbnl1,1.8080978061980326e-11,0.2929565865299699,0.966,0.937,2.493547684527707e-7
6h-2e10,Pa2g4,1.9332327362763245e-11,-0.25116672606685375,0.95,0.966,2.666121266598679e-7
6h-2e10,Socs1,1.9933749957189422e-11,0.6764687084854887,0.396,0.269,2.749063456595993e-7
6h-2e10,Arhgap45,2.0472006031236223e-11,0.4443305677943281,0.641,0.521,2.8232943517677877e-7
6h-2e10,S100a10,2.2190426303429643e-11,0.39553406819464587,0.846,0.776,3.060281691505982e-7
6h-2e10,Klf2,2.2934530003819406e-11,1.1726594220670985,0.249,0.145,3.162901032826734e-7
6h-2e10,Hivep3,2.3826188925366993e-11,-0.35417288591164087,0.727,0.82,3.285869714697362e-7
6h-2e10,Eif5a,3.107793061781523e-11,-0.15830475680852452,1,0.998,4.2859574115028987e-7
6h-2e10,Ypel3,3.145119487795537e-11,0.8365123450911656,0.287,0.175,4.3374342856188255e-7
6h-2e10,Tgfbr1,3.527697309156246e-11,0.7471126683684038,0.388,0.27,4.865047359057379e-7
6h-2e10,Srsf2,4.826583323835486e-11,-0.2738494449651754,0.901,0.951,6.656341061901519e-7
